Gene,Intercept_coef,Intercept_pval,Organ_SP_coef,Organ_SP_pval,IL17_coef,IL17_pval,Organ_SP:IL17_coef,Organ_SP:IL17_pval,EPO_coef,EPO_pval,Organ_SP:EPO_coef,Organ_SP:EPO_pval,IL17:EPO_coef,IL17:EPO_pval,Organ_SP:IL17:EPO_coef,Organ_SP:IL17:EPO_pval,Organ_SP_fold_change,IL17_fold_change,EPO_fold_change,model_0_lrt_stat,model_0_lrt_pval,model_1_lrt_stat,model_1_lrt_pval,model_2_lrt_stat,model_2_lrt_pval,model_3_lrt_stat,model_3_lrt_pval,model_4_lrt_stat,model_4_lrt_pval,model_5_lrt_stat,model_5_lrt_pval,model_6_lrt_stat,model_6_lrt_pval,model_0_lrt_pval_corrected,model_1_lrt_pval_corrected,model_2_lrt_pval_corrected,model_3_lrt_pval_corrected,model_4_lrt_pval_corrected,model_5_lrt_pval_corrected,model_6_lrt_pval_corrected,Significant_In_Any_Model,Significance_Type,Significant_In_Models,Number_of_Models_Significant,Cellstate
Pdap1,5.88458302497855,0.0,0.0964285982632193,0.0645241174350011,-0.1051862263678654,0.0527526146655436,0.1376145658645514,0.0473808421135479,0.2116245657540746,1.035662534928527e-05,0.0764158637462604,0.1980199169885407,-0.0467142260033125,0.4567087035625587,-0.0171845020753098,0.8265945243405693,1.1012309485342533,0.9001568740312995,1.2356838799365772,223.18019021842883,3.8773735645076796e-47,14.783975327543883,0.0006161699967384,152.48177193939136,5.982065645325253e-32,30.428926842553665,4.0026265550763205e-06,2.401596841240462,0.3009538282191357,0.0480701690175919,0.8264560074480818,2.995369463544193,0.2236473648216439,1.820054064155153e-44,0.0056991638690366,1.3995166805438728e-29,6.848138662349853e-05,0.573088674636533,0.9235853495940192,0.4866872387457509,True,Shared,"Organ, Organ and IL-17 interaction, Epo, IL-17",4,CEP-1
Ica1,0.5597645966211897,8.490350881681357e-08,-0.03299200861832,0.8037938133358631,0.1753213747342457,0.20473232322759,-0.1716895754010861,0.331162339022007,0.1027351290517061,0.4004075120300705,-0.2058082893912596,0.1732545957163417,-0.4362669751845354,0.0063255556780034,0.5232604894846331,0.0087844149239279,0.9675462915898464,1.1916291145722129,1.1081978407858817,17.778102983462304,0.0013636051288012,15.214082037586197,0.0004969401216054,12.585512980716883,0.0134890788310029,15.878231263064665,0.0031869881241748,7.989133990980918,0.018415418643904,6.872522580786608,0.0087531010840723,7.775976770353736,0.020486515593853,0.0112118473800506,0.00474067669161,0.0715253277015099,0.0226742023349375,0.0906132146913832,0.0512319825020673,0.0983006406782699,True,Unique,Organ and IL-17 interaction,1,CEP-1
Hebp1,4.1143579212824495,1.8577928384858986e-237,0.2828288631882311,0.0750680949216237,0.0248661406835713,0.8805029262101853,0.0151562739794875,0.942841960666322,-0.5027239746141983,0.0005836218544001,0.5044143153278224,0.005277606382308,0.2107362520515358,0.2703204013362184,-0.4546145012506433,0.0570761440408522,1.326878064703774,1.0251778817288222,0.6048807337912152,114.20248314688796,9.234880665971809e-24,15.57900818131384,0.0004140581683876,23.79350470422287,8.785904156919875e-05,19.083299055517276,0.0007568726903625,4.115899692191306,0.1277155381848335,3.624932586320938,0.0569198780604427,7.889961404442147,0.0193515898087763,1.3661466798527628e-21,0.0040443160592929,0.0010529712008163,0.0068087858104644,0.3496682014006134,0.2057697428283986,0.0940272098831263,True,Shared,"Organ, Organ and IL-17 interaction, Epo, IL-17",4,CEP-1
Ube2m,5.238196379343624,0.0,-0.0343847914862459,0.6468915600556344,-0.2237413875261117,0.0041931378629714,0.2141508335305232,0.0319999883027108,0.0301322581968405,0.6625936848639793,0.0710536595358631,0.4055318380279483,0.046814077326681,0.6042180866990237,-0.0548371985336324,0.6270911803101548,0.9661996476999544,0.7995218739652477,1.0305908290249752,43.11242367054911,9.80668699192756e-09,13.772088193229138,0.0010219485850722,10.215928605299268,0.0369433079234382,23.901505766976697,8.358897209520709e-05,0.283175961310917,0.8679788068811032,0.2364048273411754,0.626814882314322,0.7413216085733438,0.6902780412063276,2.897959113631474e-07,0.0087926482245433,0.1514696309803812,0.00100723542202,0.942747734024059,0.81965355704346,0.8545358148579044,True,Shared,"Organ, Organ and IL-17 interaction, IL-17",3,CEP-1
Trim30a,0.8729276402791262,5.892599932501651e-17,-0.1495490200923511,0.2592856731216066,0.2925479225317638,0.0340257762849569,-0.2114132631738636,0.2306583055062817,0.0693028921175523,0.5698851133925495,-0.4099007872524752,0.006588949260604,-0.7427126467207315,3.219591320019415e-06,0.6490711423961878,0.0011302387241725,0.8610962259685699,1.3398369434038813,1.071760787884246,75.0944362295395,1.90302022174966e-15,23.60609522131017,7.481721759943074e-06,86.72787942690229,6.520942568926954e-18,36.71538262154536,2.061624294224183e-07,22.280093400973783,1.4519083063085704e-05,10.606868200087774,0.0011266836133563,10.756424302058804,0.0046160673883077,1.4033480541597416e-13,0.000119438421477,6.145547766986023e-16,4.626618516492622e-06,0.0002153948329539,0.0095424081604491,0.0306372488573925,True,Shared,"Organ, Organ and IL-17 interaction, Epo, IL-17, IL-17 and Epo dual interaction, Organ, IL-17, Epo triple interaction",6,CEP-1
Copb1,4.154940764109285,6.91462732626059e-289,-0.2362133837788438,0.1041470030329587,-0.0140960864225368,0.9257812870340004,0.226395007821207,0.2417211386155345,-0.0871553203393185,0.5145719623538967,0.1469188598871816,0.3744563345416527,-0.131690690789186,0.4514594133866305,0.1406990030650832,0.5197688941920822,0.7896121655272608,0.986002798229538,0.9165347280921866,22.53757843638596,0.0001566133322143,14.357212502702168,0.0007627301558039,5.190730997343053,0.2682811331364541,24.07307757236049,7.722535706894073e-05,0.5726041369707673,0.7510357174575285,0.4150093351854593,0.5194378525861707,4.846922940814693,0.0886143500173569,0.0017447625860428,0.0068471792471561,0.5379654563826913,0.0009406156390697,0.8862047194924496,0.7523611415914288,0.2767633325466168,True,Shared,"Organ, Organ and IL-17 interaction, IL-17",3,CEP-1
Mif,6.38433303832996,0.0,-0.0164229346103433,0.7347859337605054,-0.159327013492495,0.0015940849849306,0.2287025102970543,0.0003912453317124,0.0272404521485062,0.5413567400848593,-0.0007563375574893,0.9890620707856752,0.067922441657247,0.2442373031503243,-0.168616117462544,0.0207232547418253,0.983711186555482,0.8527174632545157,1.027614865261134,29.39527151360562,6.497288353257836e-06,15.701390846497816,0.0003894810198955,13.872181582509256,0.00771437366201,25.971273086566725,3.206948184081368e-05,6.665156100518288,0.0357009474883382,5.355715539245466,0.0206544571770019,12.638768697995149,0.0018010519844373,0.0001053536169716,0.0038344348808672,0.0463603151537145,0.0004346385242934,0.1477992583519078,0.0989508626562197,0.0141427285286576,True,Shared,"Organ, Organ and IL-17 interaction, IL-17",3,CEP-1
Usp15,5.5726715628305605,0.0,0.0477321373569454,0.4342970307067737,0.1008142813047636,0.1126805026170631,-0.1181022079775486,0.1459274306458577,0.0624396857500435,0.2662671619147193,0.0235072645425638,0.7351008271108586,-0.0187865284379597,0.798138770266818,-0.0290183744914417,0.7519311450323554,1.0488896593355643,1.1060712045862977,1.0644302566691617,14.830995957787309,0.0050648894110205,13.93973946326696,0.0009397753208584,7.579566307631467,0.1082515044775865,16.52434120119142,0.0023905491410658,0.8203590099219582,0.6635311323155046,0.1000771737381001,0.7517370422016907,0.1231130636206216,0.940299787387658,0.0330087804290496,0.0082051898677122,0.315218499228991,0.0178607021684344,0.8406679425415832,0.8864949902664119,0.9740187366468064,True,Unique,Organ and IL-17 interaction,1,CEP-1
Zglp1,0.2762060403823971,1.465840933808212e-06,-0.1497268573182593,0.0399369388419422,-0.1793412876129167,0.0180914595908789,0.2706493013104715,0.0052502431600052,-0.2324815542015985,0.0005258484154651,0.2215261028634429,0.0075653050613754,0.3295892615566816,0.0001708976758418,-0.3751890628650083,0.0006183727714506,0.8609431046202451,0.8358205954985972,0.79256436869451,12.11802315107525,0.0164948587539658,11.984580538075534,0.0024979365472118,16.673965648074955,0.0022361499547497,22.6272801887244,0.0001502916984915,14.609987499046838,0.0006721737128893,11.72494646760606,0.0006166782269685,11.739925102614508,0.0028229790489109,0.0833346601970766,0.0185119319444069,0.0169212103685501,0.001683041780921,0.0061449768381707,0.0057031442948002,0.0204824701073902,True,Shared,"IL-17, IL-17 and Epo dual interaction, Organ, IL-17, Epo triple interaction",3,CEP-1
Cox5a,6.385490932464475,0.0,0.0436706552349122,0.32172408176788,-0.0502919125555992,0.2730001836620309,0.053200349559862,0.3642241574248305,0.1655307192440935,4.453443943280158e-05,-0.0183111838602348,0.7150381585306085,-0.1145606995293598,0.0307366055236306,0.0634500653119744,0.3383506114269845,1.0446382520875903,0.9509517892130316,1.180019211460882,61.04951571261336,1.7454919931917854e-12,15.087254894517171,0.0005294734968925,56.56234859537926,1.5283772006276786e-11,48.89017268870339,6.155138362012441e-10,6.327051348967871,0.0422764251021604,0.918078453234557,0.3379800140150446,1.2209711979512576,0.5430870825014986,9.20410248693216e-11,0.0049970042218002,7.05220398679036e-10,2.2346173368125193e-08,0.1669289020748444,0.6100607860922967,0.7672159311341225,True,Shared,"Organ, Organ and IL-17 interaction, Epo, IL-17",4,CEP-1
